"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
O94992,CLP1;EDG1;HEXIM1;HIS1;MAQ1,NA,NA,10.48,0.000122
O95071;E7EMW7;E7ET84;H0YAV7;H0YBB4;E5RFK7,EDD;EDD1;HYD;KIAA0896;UBR5,0.47,0.00262,0.76,0.00454
O95202;F8WBN9;O95202-3;O95202-2;Q2VYF4;Q2VYF4-2;E9PMA4;Q2VYF4-3;Q2VYF4-4,LETM1,0.97,0.000689,0.91,0.00128
O95238;F5H778,PDEF;PSE;SPDEF,-9.07,1.55E-05,NA,NA
O95336,PGLS,NA,NA,-0.89,0.0078
O95340-2;E7ER89;H0Y373;O95340,ATPSK2;PAPSS2,NA,NA,-1.64,0.00604
O95486;O95486-2,SEC24A,-0.65,0.00639,-0.99,0.00176
O95630;F5GZ23;C9JK83;F5H5B9;C9JEK5;C9JZ93,AMSH;STAMBP,-1.04,0.00312,-0.91,0.00149
O95707;A8MYC1,POP4;RPP29,NA,NA,9.45,2.04E-06
O95833;Q5SQ17,CLIC3;RP11-229P13.3-003,NA,NA,-2.04,0.00923
O95834-2;O95834;F5GYW5;C9JRL6;G3V3N9;G3V500,EMAP2;EMAPL2;EML2;C17orf87,-1.06,0.00231,-1.04,0.00364
O95861-2;C9JI50;O95861;B4DUS9;A6NF51;B4DPS5;F8W1J0;F8VZG4;F8VVW8;F8VRY7,BPNT1,-0.58,0.00531,-0.7,0.0102
O95865;E9PBN5;Q5SRR8;Q5SSV3;A3KGN5;H0Y7N1,DDAH;DDAH2;G6A;NG30;DADB-110M10.5-007;DAMA-236L13.14-007;DAMC-117B11.9-007;DAQB-350E15.2-007;DASS-312M4.7-007;XXbac-BCX88C14.2-007;XXbac-BPG32J3.8-007;DADB-110M10.5-008;DAMA-236L13.14-008;DAMC-117B11.9-008;DASS-312M4.7-008;XXbac-BCX88C14.2-008;XXbac-BPG32J3.8-008;DAQB-350E15.2-008,-0.39,0.00509,-0.61,9.06E-05
O95994;B5MC07;C9J3E2;Q8TD06;B5MC62,AG2;AGR2;UNQ515/PRO1030,NA,NA,-2.18,0.0105
O96019;O96019-2;C9JQT2;O94805,ACTL6A;BAF53;BAF53A;INO80K,0.57,0.004,NA,NA
