Accession,Gene,114:113,"PVal 114:113",115:113,"PVal 115:113",116:113,"PVal 116:113",117:113,"PVal 117:113",118:113,"PVal 118:113",119:113,"PVal 119:113",121:113,"PVal 121:113"
Q5T5X7,BEND3,0.697,0.3125,0.615,0.0717,1.129,0.3079,0.355,0.0066,0.31,0.0226,0.296,0.0223,0.387,0.0195
Q9Y5Q8,GTF3C5,0.831,0.2011,0.828,0.3483,1.288,0.1221,0.718,0.0233,0.831,0.0791,0.892,0.4809,0.814,0.3585
Q13112,CHAF1B,0.549,0.0491,0.493,0.3134,0.894,0.5401,0.345,0.2791,0.233,0.2458,0.219,0.2847,0.313,0.2535
Q9UQ13,SHOC2,0.977,0.9304,0.947,0.6881,0.854,0.2676,0.617,0.1151,0.52,0.1474,0.521,0.15,0.603,0.0166
Q9H845,ACAD9,0.939,0.8155,0.818,0.419,1.166,0.2593,0.663,0.0861,0.607,0.0336,0.664,0.0764,0.559,0.0065
P25398,RPS12,0.951,0.1072,0.666,0.038,0.803,0.0487,0.645,0.2592,0.541,0.2715,0.586,0.2403,0.623,0.3056
A8K4C2,-,1.013,0.7628,1.082,0.4324,0.987,0.9147,0.72,0.1268,0.999,0.9967,0.887,0.6531,0.757,0.0243
P51116,FXR2,0.766,0.4103,1.124,0.7519,0.813,0.0038,1.176,0.8183,1.028,0.9689,0.847,0.8199,0.971,0.9593
Q15582,TGFBI,2.172,0.1007,2.416,0.1324,1.384,0.0244,0.963,0.6736,1.358,0.0187,1.571,0.0758,1.077,0.2781
Q5T4U5,ACADM,1.022,0.1574,1.078,0.7755,0.982,0.4421,2.38,0.1055,2.745,0.0651,2.219,0.0474,1.614,0.0007
Q5VSQ6,P4HA1,1.296,0.0053,1.534,0.0023,2.188,0.0214,0.89,0.6953,1.946,0.1702,2.964,0.081,2.394,0.0704
Q59GY4,-,0.991,0.8077,1.012,0.9289,0.978,0.6089,0.169,0.0293,0.173,0.0383,0.18,0.0299,0.152,0.0138
Q9ULC4,MCTS1,1.156,0.0731,0.995,0.9834,1.059,0.2291,0.717,0.0109,0.569,0.1154,0.559,0.0517,0.564,0.0303
P35611,ADD1,1.349,0.0284,1.331,0.0962,1.407,0.1275,0.545,0.155,0.442,0.0859,0.43,0.1422,0.433,0.0238
A8K9B9,-,1.071,0.85,0.945,0.7993,1.054,0.5599,1.458,0.1464,1.856,0.0264,1.93,0.1259,1.849,0.0103
Q59GW8,-,0.798,0.154,1.437,0.1891,1.378,0.0394,1.039,0.914,0.648,0.1546,1.262,0.4534,1.25,0.5988
Q12792,TWF1,0.905,0.0381,0.972,0.6156,1.128,0.1787,1.366,0.1068,1.116,0.0539,1.051,0.8093,1.13,0.2943
Q96I25,RBM17,0.956,0.5515,0.615,0.1873,1.018,0.7985,0.391,0.0184,0.42,0.0051,0.364,0.0868,0.441,0.0261
Q6NUR1,NCAPG,0.658,0.0699,0.54,0.3208,0.57,0.0297,0.859,0.2795,0.708,0.0459,0.552,0.0691,0.565,0.0414
P52756,RBM5,0.924,0.8929,0.57,0.1065,0.901,0.5882,0.317,0.026,0.371,0.0609,0.29,0.0738,0.444,0.0658
Q6IAN5,TREX1,1.374,0.006,1.222,0.2751,1.018,0.6834,0.984,0.926,0.906,0.6169,0.952,0.833,0.785,0.151
B4DUT2,-,0.807,0.0877,0.71,0.3689,0.693,0.0246,1.009,0.9854,1.055,0.8708,0.9,0.8324,1.107,0.7819
Q14165,MLEC,0.905,0.7789,1.515,0.0556,1.146,0.5024,5.337,0.0331,3.298,0.0659,5.312,0.0303,5.429,0.0482
Q9BUL9,RPP25,0.776,0.5391,1.006,0.9556,1.434,0.181,0.502,0.0732,0.531,0.0419,0.585,0.0403,0.693,0.1234
Q4TT38,MRPL28,0.455,0,0.787,0.5173,0.774,0.0492,0.794,0.1815,0.543,0.2823,0.782,0.2731,0.684,0.447
Q8TAE8,GADD45GIP1,0.711,0.2743,0.885,0.2438,0.899,0.6314,0.851,0.7088,0.555,0.0191,0.808,0.656,0.792,0.6572
Q8WXX5,DNAJC9,0.945,0.0078,0.828,0.5512,0.899,0.5273,0.992,0.9774,0.978,0.9079,0.84,0.5438,0.941,0.8292
Q9NRX2,MRPL17,0.554,0.146,0.877,0.7168,0.855,0.3098,1.234,0.3305,0.781,0.1559,1.164,0.0186,1.146,0.2985
P51665,PSMD7,1.084,0.0673,0.931,0.6871,1.219,0.0578,1.368,0.0981,1.719,0.1317,1.923,0.049,1.691,0.0182
O60248,SOX15,1.053,0.926,0.637,0.3512,0.96,0.8676,0.127,0.0173,0.1,0.0004,0.095,0.0203,0.124,0.0499
A8K7A2,-,0.717,0.0239,0.657,0.3513,0.674,0.1983,1.768,0.0495,1.054,0.2225,0.755,0.1217,1.272,0.0782
Q9C005,DPY30,0.928,0.0327,0.897,0.2398,1.036,0.0023,0.348,0.1407,0.289,0.1825,0.329,0.1295,0.398,0.1339
Q15369,TCEB1,0.86,0.0659,0.918,0.6712,1.156,0.4249,0.558,0.0077,0.636,0.0247,0.559,0.2292,0.502,0.14
Q6P1N0,CC2D1A,0.736,0.2547,0.599,0.2106,0.716,0.0081,0.718,0.6161,0.673,0.404,0.609,0.5206,0.719,0.4755
Q6I9S2,SNW1,0.666,0.1461,0.503,0.0411,0.706,0.1202,0.438,0.0057,0.479,0.0215,0.404,0.0084,0.515,0.0003
B7Z6H4,-,0.905,0.287,1.052,0.7949,0.741,0.01,0.745,0.0929,0.961,0.4654,0.837,0.1393,0.732,0.039
Q96FJ2,DYNLL2,1.225,0.2633,0.869,0.1327,1.274,0.0122,0.453,0.0416,0.448,0.0897,0.464,0.0954,0.463,0.0971
P10696,ALPPL2,1.139,0.0001,1.595,0.0329,1.306,0.4742,1.098,0.7004,1.173,0.0703,1.401,0.1825,1.935,0.1552
Q9UNS1,TIMELESS,0.993,0.9611,1.052,0.819,1.224,0.0331,1.162,0.6356,1.152,0.2922,0.85,0.159,1.157,0.7437
Q9Y3A2,UTP11L,0.7,0.1754,0.716,0.2052,0.686,0.02,1.017,0.8815,1.128,0.5884,0.977,0.9021,0.968,0.8184
Q9NS69,TOMM22,1.206,0.0926,1.314,0.1683,1.157,0.1093,3.156,0.0336,1.773,0.0406,1.745,0.0479,1.794,0.065
Q12907,LMAN2,0.964,0.0961,1.135,0.7115,1.194,0.4114,1.37,0.0234,1.078,0.1609,1.864,0.004,1.651,0.0363
Q99873,PRMT1,1.022,0.8823,0.917,0.7556,1.489,0.0551,0.365,0.0102,0.4,0.0261,0.409,0.0924,0.386,0.0032
Q9Y314,NOSIP,0.811,0.5301,0.494,0.197,0.849,0.3616,0.576,0.1072,0.571,0.1539,0.544,0.1216,0.649,0.0266
P62487,POLR2G,0.991,0.8948,0.714,0.0581,1.001,0.9849,0.389,0.0074,0.468,0.0101,0.345,0.0798,0.415,0.0226
Q59GY0,-,0.939,0.1953,0.57,0.0643,0.759,0.0276,0.553,0.1747,0.632,0.2951,0.563,0.2432,0.405,0.093
Q9UI10,EIF2B4,0.924,0.443,1.218,0.4221,0.741,0.2844,1.256,0.2864,1.279,0.3384,1.403,0.0408,1.157,0.119
Q10567,AP1B1,0.915,0.8669,0.943,0.8316,0.848,0.343,0.822,0.241,0.802,0.0415,0.84,0.4579,0.877,0.0991
B4DJ38,-,1.128,0.8383,1.234,0.604,0.885,0.678,3.012,0.0317,1.321,0.0542,2.476,0.0264,2.318,0.0897
Q53G23,-,1.562,0.1241,1.688,0.2573,1.2,0.4571,1.245,0.686,4.764,0.0349,4.11,0.0279,1.618,0.3508
Q14344,GNA13,0.987,0.9743,1.69,0.1419,1.335,0.012,0.548,0.5703,0.638,0.6325,0.957,0.9597,0.88,0.8787
Q96S97,MYADM,0.91,0.8893,1.51,0.0102,1.043,0.9064,1.263,0.6237,1.793,0.298,2.283,0.1387,1.954,0.1976
