Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00054042;IPI00217449;IPI00217450;IPI00943949;IPI00293242;IPI00927953;IPI00924676;IPI00927795;IPI00398199;IPI00478385;IPI00879176;IPI00432873;IPI00952758;IPI00514156;IPI00924483;IPI00926158,BAP135;GTF2I;WBSCR6,P78347-1;P78347;B4DH52;P78347-3;A8K9W7;P78347-4;Q499G6;P78347-2;B4DM07;B4DRA9,4.40071
IPI00438229;IPI00438230,KAP1;RNF96;TIF1B;TRIM28,Q13263-1;Q13263;B2R8R5;Q13263-2,4.36973
IPI00024662,CBX5;HP1A,P45973;Q6I9T7,4.33396
IPI00019472;IPI00922776;IPI00922487,ASCT2;M7V1;RDR;RDRC;SLC1A5,Q15758;B7ZB81;Q59ES3;Q71UA6;B4DE27;B4DR77;B4DWS4,4.33294
IPI00395627;IPI00552308;IPI00940004;IPI00894008;IPI00410678;IPI00893250,CACYBP;PNAS-107;S100A6BP;SIP;hCG_2024873;RP1-102G20.6-001;RP1-102G20.6-002,Q9HB71-1;Q9HB71;Q5R371;Q6NVY0;B3KSF1;Q5R370,4.30354
IPI00917683;IPI00303105;IPI00917294;IPI00917981;IPI00917832;IPI00418254;IPI00477045;IPI00916532,SUMO1;OK/SW-cl.43;SMT3C;SMT3H3;UBL1,B8ZZN6;P63165;C9J6M7;B9A032;B8ZZJ0,4.2989
IPI00107745;IPI00953314;IPI00448519,CREAP1;CROP;LUC7L3;O48,O95232-1;O95232;A8K3C5;B4DJ96;Q6PKC2;Q86Y74,4.29214
IPI00005492,BIG3;WDR5,P61964,4.28888
IPI00333215;IPI00943316;IPI00935732;IPI00218106;IPI00922871;IPI00018403;IPI00643225;IPI00646348;IPI00647399,GTF2S;TCEA1;TFIIS,P23193-1;P23193;P23193-2;B7Z4W0,4.28092
IPI00470883;IPI00552978;IPI00641720;IPI00642251;IPI00640203;IPI00647430;IPI00947236;IPI00927052;IPI00852883,hCG_15646;RP11-517O1.1-006;STAG2;DKFZp781H1753;DKFZp686P168;DKFZp686C21148;DKFZp686P16143;DKFZp686I05169;SA2,B1AMT5;Q68DE9;Q6AI02;Q6MZM3;Q6MZM4;Q6MZP3;Q8N3U4;B2R8Y6;B4DQ46,4.26865
IPI00954006;IPI00550308;IPI00954190;IPI00644692;IPI00852629;IPI00852859,DKFZp667H197;HRIHFB2091;KIAA0765;RBM12,Q69YJ7;Q9NTZ6;B4DRP9,4.25618
IPI00298971;CON__Q3ZBS7,VTN,P04004;B7Z553,4.25201
IPI00179953;IPI00332499;IPI00219821;IPI00646459;IPI00639912;IPI00514504,NASP;hCG_40880;RP4-697E16.3-005;RP4-697E16.3-004,P49321-1;P49321;B4DQP3;B4DS57;Q6PJY7;Q9P1N1;P49321-3;Q53H03;P49321-2;O95138;Q5T626;Q5T624,4.24007
IPI00168262;IPI00450971,GLT25D1;PSEC0241,Q8NBJ5;B3KQ10;Q8WUI9;Q9H6F1,4.23663
IPI00844264;IPI00470891;IPI00873244,DKFZp779B0247;CSDE1;D1S155E;KIAA0885;NRU;UNR;DKFZp566C233;DKFZp586J0620,Q68DF1;O75534-1;O75534;Q9GZV0;O75534-2;Q8WU01;Q96L66;Q9UG12;Q9UG93,4.22017
IPI00382985;IPI00784761;IPI00908378,AYP1;RNASEH2C,Q8TDP1-1;Q8TDP1;Q8TDP1-2;B4DMW4,4.21903
IPI00384456;IPI00106847;IPI00440122;IPI00893449;IPI00892806;IPI00893025;REV__IPI00401820,GTBP;MSH6,P52701-1;P52701;B4DF41;B4E3I4;Q1L838;Q3SWU9;P52701-2;C9J3N0,4.1993
IPI00742124;IPI00926886;IPI00927120;IPI00744421;IPI00926703,KIAA0794;UBXD7;UBXN7,O94888;B4E126,4.18539
