"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q9HAV0;C9JD14","","","+",-1.32,-0.25,-1.57
"Q9Y223-2;Q9Y223;H0YFA7;Q9Y223-3;A7UNU7;F5H499","+","","+",-0.93,-0.86,-1.79
"P50151","+","+","",-1.93,1.61,-0.32
"P61952","","","+",-1.71,-0.09,-1.81
"Q9UBI6","","+","",0.54,-0.79,-0.24
"G3V2N0;G3V3J9;P59768;G3V415;G3V2C9","+","","+",-1.56,-0.66,-2.22
"P63218","+","+","",-0.98,0.79,-0.19
"O60262","+","","+",-2.23,-0.54,-2.77
"Q9UK08","+","","+",-2.45,0.14,-2.3
"P36915;E9PHP0;P36915-2;E7ETJ1;B0V0L0;B4DWZ0;A2AB27","","+","+",0.26,0.72,0.98
"Q13823","+","","+",1.21,0,1.21
"Q9BVP2;Q9BVP2-2","+","","+",1.27,0.05,1.32
"Q9NVN8;A8MX10","","+","+",0.43,0.75,1.18
"O15228;B4DNM9;Q5TBH8","","","+",0.42,0.3,0.72
"P46926;B7Z3X4;D6RFF8;D6R9P4;E7EVU7;D6RAY7","+","","+",0.34,0.31,0.65
"Q8TDQ7;Q8TDQ7-2;Q8TDQ7-3;Q2VYF1;B4DJF3","","+","+",-0.15,-1.11,-1.27
"Q96EK6;G3V4W4;G3V5E4","","+","",0.55,-0.91,-0.36
"Q3T906","","","+",-0.44,-0.98,-1.42
"B4DYH8;B4DTT0;F6S8M0;P15586;F5H260;H0YFA9","+","+","",-1.48,1.55,0.08
"Q92805","","+","",0.46,-0.71,-0.25
"Q08379","+","+","",0.84,-1.2,-0.35
"Q08378;Q08378-2;Q08378-4","+","+","",0.89,-1.02,-0.13
"F8W8Q7;Q13439;Q13439-4;Q13439-3;H0Y6I0","+","+","",0.97,-1.2,-0.23
"Q8TBA6;Q8TBA6-2;E7EQP0","+","+","",1.26,-1.74,-0.48
"E7EP74;E7EU81","+","+","",1.22,-1.39,-0.17
"O00461;F8W785","","+","",0.4,-1.03,-0.63
"Q8NBJ4;Q8NBJ4-2","+","","+",-1.79,-0.09,-1.88
"Q9H4A6;F5H7W9","","","+",-0.91,0.21,-0.7
"E9PFK1;Q9H4A5;F5H4M3;Q5T5I6","+","","+",-1.22,-0.07,-1.29
"Q9HD26;Q9HD26-2;F5H1Y4;Q9HD26-3","+","+","+",1.12,-2.31,-1.19
"Q5T7V8;Q5T7V8-2;Q5T7V8-4;Q5T7V8-3","+","","",-0.98,0.84,-0.15
"Q9H8Y8;B4DEI4;B4DKT0;Q9H8Y8-2","+","+","",-1.19,0.78,-0.4
"E9PCW1;B4DQA8;O95249;G5E9T8","+","","",-0.73,0.36,-0.37
"P17174;B7Z7E9;B7Z1I2","+","","+",-0.89,-0.03,-0.92
"Q99795","","","+",-1.13,-0.92,-2.05
"Q9HCL2;Q5VW52","+","","",-3.31,1.89,-1.42
"Q5T3I0;Q5T3I0-3;E9PAV9","","","+",1.02,0.54,1.57
"Q9HC44","","","+",-1.06,-0.17,-1.23
"P35052","","+","",-0.74,1.69,0.95
"O75487;B4E2C0;F5H5T3","+","","",-0.73,0.87,0.14
"Q9NPB8;E9PDI1;H0Y565","+","","",1.34,-0.15,1.19
"Q8N335;C9JM46","","+","+",-0.14,-0.96,-1.1
"Q9NQX3-2;Q9NQX3;F5H039;F8W7D6","+","+","",0.46,-0.78,-0.32
"P06744;B4DG39","+","+","",-0.42,0.74,0.32
"Q92917","","+","+",0.48,0.88,1.35
"P80108","+","","",-1.18,0.98,-0.2
"Q9HCN4;B5MBZ5;B4DQJ5;B4DXU4","+","","",0.76,-0.23,0.53
"Q8NFJ5","","+","+",0.15,3.69,3.84
"Q9NQ84-2;Q9NQ84;A8MXZ4;Q9NXI0","","+","+",-0.21,1.64,1.43
"Q6ZVF9","+","+","+",1.4,-2.55,-1.14
"P24298","+","","+",-2.49,-1.27,-3.76
"Q8TD30;Q8TD30-2","+","","",-1.13,1.5,0.37
"P18283;H0YJK8","+","","",0.6,-0.34,0.26
"P22352","+","","+",-2.55,0.35,-2.2
"P36969;P36969-2","+","","",0.59,-0.27,0.32
"Q96CP6;Q96CP6-3;Q96CP6-2;F5GZ02","","","+",2.02,0.88,2.9
"B7Z6D8;B7Z3R1;Q96HH9;B7Z8T2;F5H0T3;D6REP5;E9PD09;F5H6Z9;B7Z1F2;B7Z4W8","","+","+",-0.65,-1.13,-1.78
"Q6IC98","","","+",-0.51,-0.61,-1.13
"Q14451-3;Q14451;E7EPG8;Q14451-4;Q14451-2","","","+",0.53,1.08,1.61
"C9JDN2;Q6ISB3;Q6ISB3-2","+","","+",1.02,-0.36,0.66
"Q4V328;F5H504;Q4V328-4;B1B0M1;Q4V328-2;Q4V328-3","+","+","",0.53,-0.65,-0.12
"P28799;P28799-2;Q9H8S1;B4E1G5","+","","",-0.71,0.15,-0.56
"Q8TAA5","","","+",0.6,1.22,1.82
"Q9BQ67;E7EX09","","","+",0.17,0.71,0.88
"Q96QA5","+","+","",-1.71,2.01,0.31
"G3V1A6;P57764;E9PIB2","+","","",-1.1,0.34,-0.76
"Q8TAX9-4;B4DKK7","","+","+",0.06,-1.34,-1.28
"P06396;B7Z373;F5H1A8","","+","+",-0.46,-1.15,-1.61
"P15170-2;P15170","","+","",-0.14,0.62,0.48
"P00390;P00390-2;C8KIL8;C8KIL9;C8KIM0;H0YBD4","+","+","+",-0.6,-0.49,-1.09
"P48637;B7Z514;B6F210","+","","",-0.7,0.52,-0.17
"P08263;P09210;Q16772","+","","",-1.82,0.99,-0.83
"P28161;A6NGW8;F6XZQ7;E9PHN6;E9PEM9;E9PLF1","+","","+",-1.9,-0.43,-2.34
"P21266","+","","+",-1.38,-0.22,-1.61
"P30711;E9PH92;G3XAK0;C9JA47","","+","",0.8,-2.12,-1.32
"O43708;O43708-2","+","+","+",-0.64,-1.23,-1.87
"Q00403;B1APE1;B1APE2","+","","",0.62,-0.48,0.14
"P29084","+","+","+",1.4,-0.52,0.88
"P35269;E7EUG6;F5H761","+","","+",1.09,0.03,1.12
"P13984","","+","+",0.14,1.13,1.27
"B4DH52","+","","+",0.5,0.36,0.86
"Q12789;Q12789-3","+","","+",0.88,0.38,1.25
"Q8WUA4;Q8WUA4-2","","+","+",0.71,1.06,1.76
"Q9Y5Q9;Q9Y5Q9-2","","","+",0.56,0.37,0.93
"Q9UKN8","+","","+",1.21,-0.17,1.04
"Q9Y5Q8-3;Q9Y5Q8;Q9Y5Q8-2;Q5T7U1","+","","+",0.74,0.07,0.82
"Q969Y2-2;A6NIG5;Q969Y2;Q969Y2-3","+","","",1.45,-0.3,1.15
"Q9BZE4;B7Z7A3;B4DY13","+","","+",1.04,0.55,1.59
"Q9H4K7;Q5JXJ0","","+","",-0.16,1.62,1.46
"P25092","+","","",0.87,-0.38,0.49
"Q8N442","+","","",0.88,-0.38,0.5
"P08236;E9PCV0;P08236-2","+","","+",-0.87,-0.5,-1.37
"P46976;P46976-2;C9JQ42;P46976-3;D3DNH0;G5E9W8","+","+","",-0.99,0.84,-0.15
"P12544;P12544-2","+","","",-2.06,0.44,-1.62
"O75367;O75367-3;O75367-2;B4DJC3","+","+","",-0.4,0.78,0.38
"O95479","","+","",0.36,-0.71,-0.36
"Q9UJ83;B4DWI1;B4DXI5;E9PEN4;C9J306","","+","+",0.34,1.01,1.35
"Q16836;Q16836-2;E9PF18","","+","",-0.01,-0.81,-0.82
"P40939","+","","",-0.44,-0.25,-0.69
"P42357;F5GXF2;F5H1U5","+","+","",-2.6,2.49,-0.1
"P10915;D6RBS1","+","","+",-2.59,0.27,-2.32
"P12081;D6REN6;B4DY73;B4DDD8;B3KWE1;B4E1C5;C9JWK3;F5GZR5;E7ETE2","+","+","",-0.46,0.46,0
"Q9NVX0;Q9NVX0-3;Q9NVX0-2","","+","+",1.17,0.9,2.06
"Q9H6D7;G3V541;Q9H6D7-4;G3V5A5;Q9H6D7-3;Q9H6D7-2;G3V4X7","+","","+",1.44,-0.11,1.32
"Q1HDL3;O75352;Q9H3L2;B4DT74;Q96K24","+","","",-1.51,0.25,-1.26
"A6NEM2","","+","+",0.12,0.61,0.73
"P14317;E7EVW7","+","+","+",-0.98,-0.97,-1.95
"Q92769;B3KRS5","","","+",0.37,0.47,0.83
"O15379-2;O15379;E7ESJ6","","","+",0.54,0.95,1.49
"Q9BY41;E7EVA8;B4DKN0;A6NGJ7;B4DQE7;Q9BY41-2;B4DV22;A6NMT1;E7ENE4","","","+",0.34,1.12,1.46
"Q8N4P3;H0YKT9;H0YNP9;Q8N4P3-2","","+","",0.31,-0.95,-0.64
"P51858;B7Z525","","","+",0.17,0.55,0.71
"Q9Y3E1","+","","",-1.66,0.4,-1.26
"E9PAV8;F5H6B0;Q08623;Q08623-3;E7EVH9;Q08623-2","+","","",-0.64,0.39,-0.25
"Q9H0R4","+","","+",-0.96,-0.44,-1.4
"Q00341;E7EM71;H0Y394;E7EU12","+","","+",-0.59,-0.06,-0.64
"Q9H583;Q5T3Q7","+","","+",1.69,-0.15,1.54
"Q86Y56;H0Y650;F5H8D4","","+","+",0.17,1.16,1.33
"Q7Z4Q2","","+","+",-0.39,1.49,1.09
"Q9UBI9","+","","",0.72,-0.41,0.32
"Q5T447;E7EWG7","+","","+",-0.7,-0.39,-1.09
"Q9NRZ9;Q9NRZ9-2;Q9NRZ9-3;Q9NRZ9-4;Q9NRZ9-5;Q9NRZ9-6","+","","+",1.4,0.51,1.91
"P42694","+","","+",0.64,-0.05,0.59
"E9PDV5;A8MVW5;C9JN07;A8MVW5-2","+","","+",-2.32,-0.42,-2.75
"Q15011;Q15011-2;Q15011-3;E9PGD1;E7EQ76","+","","+",-1.5,0.65,-0.85
"P06865;E9PGL4","+","","",-0.93,-0.06,-0.99
"P07686;Q5URX0","+","","",-0.91,0.23,-0.68
"O14964;F5H5Y5;E7EU53;O14964-2","+","+","",0.75,-0.41,0.34
"P31937","+","","",0.73,-0.13,0.6
"Q6NVY1;Q6NVY1-2","","+","",0.09,-0.79,-0.7
"Q9NWT6","","+","",-0.16,0.76,0.6
"P49773;D6RD60;D6RE99;D6REP8","+","+","",-0.83,0.62,-0.21
"O75146","+","+","",0.7,-1.14,-0.44
"P16401","+","","",-0.75,0.62,-0.13
"P10412","+","","",-0.88,0.53,-0.35
"Q96A08","","+","",-2.04,2.88,0.84
"P23527","+","+","",-0.96,1.06,0.11
"P62805","+","+","",-1.6,1.52,-0.08
"B4DLA9;Q5QNW6;Q93079;B4DR52","+","","",-0.5,0.39,-0.11
"P05534","","","+",-0.82,0.26,-0.56
"Q5SUL4;P30443;Q5SUL6;P30455","+","","",-2.63,1.48,-1.15
"P20036;E9PHT7;F6Q3Q2;F6SR56;F6TEP1;F6UCG7;F6V754;F6X9C6;F6XM29;F6Y981;F6UHJ8;H0Y4N7;H0Y4Q1;H0Y4V1;H0Y504;H0Y5A5;H0Y640;H0Y652;H0Y6F8","+","","",-2.9,1.55,-1.35
"Q5EP54;E7ETS1;B0V1E4;F8VVB1","+","","+",-2.75,-0.54,-3.29
"E9PMV2;H0YF41","","","+",-1.44,-0.81,-2.25
"Q5SU54;Q5Y7D6;A2AAZ0;F6RDT3;E9PIB1","+","","+",-1.43,-0.66,-2.08
"P01903;F8W0P2;Q30118;Q5SP06","+","","+",-0.97,-0.3,-1.27
"P13761;H0Y4M2","+","","",-1.17,-0.32,-1.49
"Q14527;Q14527-2","","","+",0.8,1.09,1.88
"Q8TCT9;Q8TCT9-5;Q8TCT9-2;Q8TCT9-4","+","+","+",-0.54,1.06,0.52
"Q9NP66","+","","+",0.94,0.01,0.96
"P09429","+","","+",0.43,0.4,0.83
"O15347;E7EQU1;E7ES08;E9PES6","","+","+",0.07,1.32,1.38
"P35914;B1AK13;B4DUP4;F5GYT9","","+","+",-0.21,-0.91,-1.12
"P54868;B7Z8R3","","+","+",-0.38,-3.05,-3.43
"A6NEL0;P05114;A6NL93","+","","",-0.81,0.15,-0.66
"Q92619;F5H4N1;F6QP70;F5H1R4;F5H4A3","+","","+",-0.82,-0.7,-1.52
"O75330-3;O75330;O75330-2;F8WCW5;O75330-4;E3W978","","","+",0.71,0.68,1.39
"P09601;B1AHA8","","+","+",0.67,-1.97,-1.3
"P30519","","","+",0.15,0.41,0.56
"Q9UK76;Q9UK76-2;B8ZZT7;Q9UK76-3;F5GY98","","","+",0.4,0.51,0.91
"B4DLH4;Q9H910;A6NGP5;Q9H910-2;B4DL85","+","","",0.61,-0.11,0.5
"F5H5U3;F5H0K0;P20823;E0YMI7;E7EUQ4;P20823-2;P20823-3;E7EMR0;E0YMJ3;F5H3E7;E0YMJ4;F5H2Y5;H0YND5;E0YMK1;E0YMI9;E0YMJ5;E0YMK0","+","","",1.74,-1.01,0.72
"E7ERE7;P41235-4;P41235;P41235-2;P41235-5;P41235-6;P41235-3;P41235-7;C9J7I8","","+","+",0.12,1.57,1.69
"P09651;F8W6I7;P09651-2;F8VRQ1;F8VXY0;F8W1S7;F8VSB5;P09651-3;F8VZ49;F8VTQ5","","+","",0.09,0.72,0.8
"P22626","","+","",-0.13,0.72,0.59
"P51991","","+","",-0.17,0.6,0.43
"Q14103-3;Q14103;H0Y8G5;D6RAF8","","+","",-0.11,0.64,0.53
"P52597;B4DKS8","","+","+",0.41,0.4,0.81
"G8JLB6;P31943;E9PCY7;D6RBM0;D6RIU0;D6RIT2;D6RIH9;D6RJ04;D6RDU3;E7EN40;D6RFM3;D6R9T0;D6RAM1;E7EQJ0","","+","",0.16,0.51,0.67
"P55795;B4DFK9","+","+","+",0.47,0.66,1.13
"P52272;P52272-2","","+","",0.17,0.54,0.72
"O43390;Q2L7G6;E7ETM7","","+","+",0.33,0.35,0.68
"O14979","","+","+",0.17,0.77,0.94
"C9J9G0;Q8WVV9-4;Q8WVV9-3","+","","+",0.67,0.16,0.83
"Q86YM7;Q86YM7-2;Q86YM6","","+","+",0.15,2.14,2.3
"A8MU44","+","+","",0.75,-0.65,0.1
"Q96ED9","+","+","",0.98,-0.84,0.13
"Q92826","","+","+",-0.31,-1.16,-1.48
"P00738;H0Y300","+","","",-1.37,1.08,-0.3
"Q5SSJ5","+","","",-0.54,0.05,-0.49
"P37235;E9PC71;P84074","","","+",-0.5,-0.12,-0.62
"P15428;E7EV11;B4DV57;E9PBZ2;O00749","+","","+",-2.31,0.81,-1.5
"P00492","","+","+",0.28,0.53,0.82
"Q9UPZ3;Q9UPZ3-2","+","","",1.14,-0.46,0.68
"P02790;Q9BS19","+","+","",-1.39,1.2,-0.19
"CON__Q86YZ3;Q86YZ3","","+","",-1.28,1.97,0.69
"Q8IWL3","","+","+",0.08,-1.19,-1.11
"P80365","+","+","+",-1.27,-1.34,-2.61
"Q99714;Q99714-2;Q5H928","","+","",-0.24,1,0.76
"Q8NBQ5;D6RCD0","+","","+",-0.81,-0.08,-0.89
"P37059","+","","+",-2.44,-1.05,-3.49
"P51659;F5HE57;E9PB82;E7EWE5;E7ET17;G5E9S2;E7ER27","","+","+",-0.23,0.97,0.74
"P07900-2;P07900;Q86U12","","","+",0.26,0.35,0.62
"P08238;Q58FF7","","+","+",0.18,0.76,0.93
"Q58FF6","+","+","",-1.01,1.74,0.73
"P14625;E9PEX3","+","","+",-0.58,-0.09,-0.67
"P48723;F5GWS8","+","","+",-2.31,0.62,-1.69
"Q0VDF9","","+","+",0.1,0.75,0.85
"P54652;B3KUS2","","","+",-0.73,-0.91,-1.64
"P34932","","","+",0.22,0.32,0.54
"P11142;E9PKE3;E9PNE6;E7ET08;P11142-2","","","+",0.15,0.08,0.23
"P04792;B4DL87","+","","",-0.88,0.51,-0.37
"E9PCI5;O14558","+","","",-2.41,1.12,-1.28
"Q9NZL4;Q9NZL4-2;C9JNI7","","","+",-0.2,1.49,1.28
"P10809","+","+","+",0.43,0.47,0.9
"P98160","+","","+",-0.87,-0.53,-1.4
"Q92598;B4DYH1;Q92598-2;Q92598-3;B4DY72;E7EUG1","+","+","+",0.52,1.62,2.14
"O60921;B4DFI9;C9JCK8;F8WAW9;C9JA95","","+","",-0.08,1.14,1.07
"Q7Z6Z7;Q7Z6Z7-3;Q7Z6Z7-2;H0Y5W0","","+","+",0.18,0.84,1.03
"Q9Y4L1;F5H4Z5;E9PL22;F5H4X7;F5GWH9;E9PJ21","+","","+",-0.68,0.12,-0.56
"P41252;F5H1M4","+","","+",0.48,0.24,0.72
"Q9P2D0;E7EPI0;Q9P2D0-2;E9PDR5","+","","",0.84,-0.45,0.38
"Q05084;B3FTQ2;Q96HG3;E9PDL4","","+","",0.56,-1.01,-0.45
"P05362;E9PER2","+","","",-0.96,0.95,-0.01
"O75874;C9J4N6","+","+","+",-0.3,-0.35,-0.65
"Q13907;C9JKM8","","","+",0.08,1.04,1.12
"P35475;D6REB5;B3KWK6;H0Y9B3","+","","+",-2.03,0.09,-1.94
"P13284","+","","",-3.49,1.57,-1.92
"Q9BYX4","+","","",-1.42,1.32,-0.1
"P09914;D3DR31","+","","",-1.43,1.48,0.05
"P09913","+","","",-1.39,1.3,-0.08
"Q01628;E9PS44;Q01629;P13164;E9PQN9","","+","+",0.74,2.19,2.93
"Q96RY7;E7ERG4;E9PEB3","+","","",1.49,-0.4,1.1
"Q9UG01;Q9UG01-2","+","","",1.22,-0.59,0.62
"Q9Y366","","","+",1.09,1.09,2.17
"Q96LB3;Q8IUV3;Q96LB3-2","+","","+",1.69,-0.5,1.19
"P78318","","+","+",-0.06,0.97,0.92
"F8W930;Q9Y6M1;Q9Y6M1-1;Q9Y6M1-4;Q9Y6M1-3;Q9Y6M1-5","+","","+",0.69,0.22,0.91
"P18065;C9JMY1","","+","+",0.6,-2.86,-2.26
"Q16270;B4E1N2","+","","+",1.1,0.44,1.54
"P01876","+","","+",-1.49,-0.84,-2.33
"P01877","","+","+",-0.87,-2.02,-2.89
"P01861","+","","",1.72,-1.24,0.47
"P01871-2;P01871;P04220","+","","+",-1.52,-0.29,-1.81
"P01591;D6RD17;D6RHJ6;C9JA05","+","+","+",-1.69,-1.27,-2.96
"P01834","+","","+",-1.32,-0.22,-1.53
"P0CG05","+","","+",-0.84,-0.67,-1.51
"B9A064;P0CG04","+","","+",-1.03,-0.79,-1.82
"Q13123;E7EQZ7;Q9H4P6;D6REL4","+","","+",1.07,-0.17,0.9
"O95163;F5H2T0","+","","+",1.11,-0.45,0.66
"F8W7Z5","+","+","+",-1.1,-0.67,-1.77
"P27930;P27930-2;C9JNR0","+","","+",-2.66,0.09,-2.58
"Q12905","+","+","",-0.54,1.23,0.69
"G5E9M5;Q12906-6;Q12906-4","","","+",0.28,0.45,0.73
"Q13418;B7Z418;B7Z1I0","","","+",-0.33,-0.09,-0.42
"Q9H0C8","","+","+",-0.08,0.82,0.74
"Q9NV31","+","","+",1.22,0.2,1.42
"Q96G21;H0Y714;E7ENR5;B9A008;B8ZZ47","+","+","+",1.65,1.24,2.89
"P29218;H0YBL1;E5RIP7;E5RG13;P29218-2;E5RI82","","+","+",0.28,-1.08,-0.8
"O14732;O14732-2","","","+",-1.21,-0.72,-1.93
"Q9P2X3;Q9P2X3-2","","+","+",0.07,-1.77,-1.7
"C9JV30;P20839-3;E7EQS0;P20839;C9J381;B4DE09;P20839-2;C9K0R9","","+","",-0.41,1.29,0.88
"P12268;H0Y4R1;F5H247;E7ETK5","","+","+",0.34,0.57,0.91
"Q9NQS7;Q9NQS7-2","","+","+",0.37,1.62,1.99
"Q27J81;Q27J81-2","","+","",0.14,-0.6,-0.45
"Q8WYH8;Q8WYH8-2;E9PEN0","","","+",0.93,0.22,1.15
"E9PCS7;Q6PI98;Q6PI98-3","+","","",0.94,-0.36,0.58
"Q92835;Q92835-2;Q92835-3;H0Y5Q9;F5GXI6","+","","",1.03,-0.2,0.83
"Q9BT40;Q9BT40-2;B7Z4V9;C9JZB0","","","+",-0.72,-0.13,-0.85
"Q9Y5Q6","+","","",-2.23,0.53,-1.7
"P06213;P06213-2","+","","",0.52,-0.32,0.2
"Q8N201","","","+",0.78,0.3,1.08
"Q9NVR2","","+","+",0.04,0.75,0.79
"Q96CB8","","","+",0.6,0.15,0.75
"Q68E01-2;Q68E01;Q68E01-3","+","","+",0.75,0.04,0.79
"Q6P9B9","","+","",-0.33,1.2,0.87
"Q9NVH2;Q9NVH2-2;Q9NVH2-3;B4DLZ6","","","+",0.77,0.46,1.23
"Q9UI26-2;Q9UI26;F8WDV0","+","","+",0.72,0.31,1.04
"Q8TEX9-2;Q8TEX9;H0YN14;H0Y3R2","","","+",0.35,0.57,0.92
"O00410-3;O00410;H0Y8C6;O00410-2;B4E0R6","","+","+",0.11,1.08,1.19
"O95373","+","","+",0.51,0.38,0.89
"P46940;H0YLE8;F5H7A1","","+","",0.06,-0.65,-0.59
"Q13576;E7EWC2;Q13576-2;D6R939","","+","+",0.25,-2.32,-2.07
"Q86VI3;F2Z2E2","+","","+",1.3,0.38,1.68
"P51617;D3YTB5;P51617-3;P51617-2;P51617-4","","","+",0.39,0.56,0.95
"P48200","","+","",-0.51,1.21,0.71
"Q7Z5L9-2;Q7Z5L9","+","","+",0.95,-0.07,0.88
"Q9H1B7","","+","",0.65,-1.24,-0.6
"Q14653;Q5FBY1","","+","",-0.09,0.94,0.85
"H0Y5H1;Q15306;Q15306-2;F2Z3D5","+","","+",-2.04,-1.03,-3.07
"Q13568-2;Q13568;E7EW57;Q6RCM8;E7EW54;E9PC81;F5H3H8;C9JAU6;Q1A7B4;C9J7M2;C9JYP7","+","","",-1.23,1,-0.23
"O14896;B1AJU4;F5GWX8","+","+","",0.51,-0.8,-0.29
"Q8WZA9","+","+","",-0.56,0.68,0.11
"P35568","+","","",1.44,-0.56,0.87
"Q9Y4H2","+","","+",2.17,-0.18,1.99
"Q86U28","","+","",0.57,-1.86,-1.29
"Q9H1K1;Q9H1K1-2;B3KQ30;B4DNC9;F5H5N2;B1P7G3","","","+",0.46,0.25,0.71
"P05161","+","+","",-1.43,2.09,0.67
"Q96AZ6;H0YMM4","+","","+",-2.1,0.23,-1.87
"Q9H9L3","+","","+",1.6,-0.24,1.36
"Q96CN7;E7ENF9;D6RE73;D6RGE2","+","+","",-0.94,0.59,-0.35
"Q9ULR0-2;Q9ULR0;Q9ULR0-1;A8MVI5","","+","+",0.26,0.75,1.01
"Q96J02;Q96J02-2;F5H217","","+","+",-0.15,0.71,0.56
"Q9H0X4;Q9H0X4-2;B4DGG1","+","","",-0.65,0.03,-0.62
"P56199","+","","",-0.55,-0.12,-0.67
"P26006;B4E0H8;P26006-1","+","","+",-1.14,-0.35,-1.49
"P13612;E7ESG7;E7EP60","+","","+",-1.1,-0.2,-1.3
"P08648","+","","+",-0.96,-0.28,-1.24
"G5E9H1;P23229;P23229-3;C9JK10;P23229-5","+","+","",0.73,-0.66,0.06
"P11215","+","+","",-0.99,1.14,0.15
"P06756;P06756-2;E7EWZ6","","+","+",-0.29,-0.58,-0.87
"P05107;A8MYE6;F5H0T6","+","","",-0.76,0.45,-0.3
"P05106;P05106-3;P05106-2","","+","+",-0.71,-1.34,-2.06
"P16144","+","+","",1.16,-0.93,0.23
"P18564;E9PEE8;C9JA97","+","+","",0.91,-1.13,-0.22
"P19827;B7Z549;F5H7E1;F5H165;F5H7Y8","+","","",-1.21,0.37,-0.84
"Q06033;Q06033-2;C9JX84;E7ET33;A8MXF4;F5H6B4","+","","",-2.52,0.9,-1.62
"Q14624-2;E9PGN5;F5H194;B7ZKJ8;Q14624;F5GXQ1","+","+","",-1.33,1.31,-0.02
"Q8WWA0","+","","+",-2.82,-2.1,-4.92
"Q9NQX7;C9JG41;Q9NQX7-3;Q9NQX7-2;B8ZZM6;E7EUS6;F5H4I5","","+","+",-0.35,-2.14,-2.49
"Q9BY32;A2A2N2","+","","",-1.18,1.03,-0.15
"Q96DU7","","+","+",-0.59,2.07,1.48
"Q14643;E7EPX7;E7EVP7;Q14643-2;Q14643-6;Q14643-5;Q14643-7;Q14643-8;G5E9P1;Q14643-3;Q14643-4","","+","+",-0.36,-0.87,-1.24
"Q14573","+","","+",0.77,-0.17,0.6
"Q8IWB1","+","+","",1.35,-1.3,0.05
"E9PD98;Q15811;A8CTX8;A8CTY3;F8W7L8;Q15811-4","+","+","",0.94,-0.76,0.18
"Q9NZM3;Q9NZM3-2;E9PBE9;Q9NZM3-3;Q9NZM3-4;E7EUQ1;E7EPJ2","+","+","",0.73,-0.62,0.11
"P26440;B3KVI7;H0YLC3","","+","",0.02,-0.82,-0.8
"Q96ST2;E7EX51;Q96ST2-3;Q96ST2-2","","+","+",0.26,0.86,1.12
"P78504","","+","+",0.22,-1.7,-1.47
"P23458","+","+","+",0.56,-0.96,-0.41
"Q6NYC1-3;Q6NYC1;Q6NYC1-2;B2WTI4","","+","+",-0.54,1.51,0.96
"Q9HDC5","","","+",0.84,0.44,1.28
"P05412","+","","+",1.91,0.21,2.12
"Q63ZY3-2;Q63ZY3;Q63ZY3-3","","+","+",-0.43,-1.37,-1.79
"Q9P2N6;Q9P2N6-3;Q9P2N6-2;Q9P2N6-6;E7EU88;B4E1W4","","+","+",0.17,1.92,2.09
"Q15046;E9PDU1","","+","+",0.3,0.41,0.71
"Q92830","+","","+",2.94,0.23,3.16
"Q92794","","","+",0.37,0.77,1.14
"O95251;G5E9K7;O95251-2;G3V125;E7EUP3;E7ER15","","","+",0.42,0.36,0.78
"Q9BVA0","+","","",0.68,-0.09,0.59
"Q8WVZ9;B4DS80","","+","",-0.27,1.23,0.95
"Q13303-2;Q13303-3;Q13303;B0AZR7;Q5TG80;Q5TG81","+","+","",-1.09,1.42,0.33
"Q96CX2","+","","+",-1.61,-0.41,-2.02
"Q7Z4H8;Q7Z4H8-2;Q7Z4H8-3","+","","",0.86,-0.78,0.09
"P24390;P33947;P33947-2","+","+","",-2.19,1.66,-0.53
"O43731","","+","+",0.01,-1.53,-1.51
"O60341;F6S0T5;O60341-2","+","","",0.76,-0.14,0.62
"Q8NB78;H0Y6H0;F2Z2A7;Q8NB78-2","+","","",1.02,-0.18,0.84
"Q9Y2K7;Q9Y2K7-2;Q9Y2K7-3;E9PIL6;D4QA03","+","","+",0.65,0.23,0.87
"F5H4E6;Q9Y4C1;F5H070;F8WE62","+","+","+",1.22,0.99,2.22
"Q7LBC6;H0YH24","+","","+",0.82,0,0.83
"O75164;B4DT38","","","+",0.94,-0.01,0.93
"F5GX28;O94953","","","+",1.81,1.52,3.34
"Q9H3R0;Q9H3R0-2;F5H7P0;F5H347;E7EV17;C9J879","+","","+",1.4,0.17,1.56
"P41229;B0QZ44;P41229-2;P41229-3;F5H3T1","+","","+",1.57,0.31,1.88
"O75525;O75525-2","","+","+",0.04,1.07,1.11
"P50053","","","+",0.86,1.06,1.92
"Q92945;Q92945-2;E7EP96","","+","",-0.06,0.84,0.79
"Q15397","+","","+",1.99,0.22,2.21
"Q12768;E7EQI7;H0YAY2","+","","",0.43,-0.08,0.35
"Q8IZA0;E7EN73;Q8IZA0-2;Q8IZA0-3;C9J519;B1AN15","+","+","",0.47,-0.86,-0.39
"O60268;B4DSS5;O60268-2","+","+","+",-1.2,-1.12,-2.32
"B4DRN7;Q86YS7;F5H2A1;Q86YS7-2;F5H5R1;F5H3N1","+","","",0.47,-0.23,0.24
"O75153;C9J6D7","","+","",-0.31,0.59,0.28
"O94964-2;O94964;H0YDM2;O94964-4","+","","",1.11,-0.17,0.94
"Q7Z7F0;Q7Z7F0-2;Q7Z7F0-3","+","","+",0.84,0.26,1.1
"Q2M389;Q2M389-2","+","","",0.36,-0.33,0.02
"Q9UPP5;E9PEZ5;Q9UPP5-2","+","","",2.01,-0.99,1.03
"Q96AT1","","+","+",0.04,0.92,0.96
